id_row,y_coord,z_coord_,x_min,x_max,row_has_pores,number_of_pores_in_row,width_row,number_non_void_cells_in_row
136,0.000275,0.000185,0.00012,0.000175,False,0,5.5e-05,11
137,0.000275,0.00019,0.000115,0.00018,False,0,6.5e-05,13
138,0.000275,0.000195,0.00011,0.00018,False,0,7e-05,14
139,0.000275,0.0002,0.00011,0.000185,False,0,7.5e-05,15
140,0.000275,0.000205,0.000105,0.00019,False,0,8.5e-05,17
141,0.000275,0.00021,0.000105,0.00019,False,0,8.5e-05,17
142,0.000275,0.000215,0.0001,0.000195,False,0,9.5e-05,19
143,0.000275,0.00022,9.5e-05,0.000195,False,0,0.0001,20
144,0.000275,0.000225,9.5e-05,0.0002,False,0,0.000105,21
145,0.000275,0.00023,9.5e-05,0.0002,False,0,0.000105,21
146,0.000275,0.000235,9.5e-05,0.0002,False,0,0.000105,21
147,0.000275,0.00024,9e-05,0.000205,False,0,0.000115,23
148,0.000275,0.000245,9e-05,0.00021,False,0,0.00012,24
149,0.000275,0.00025,9e-05,0.00021,False,0,0.00012,24
150,0.000275,0.000255,0.0001,0.00021,True,3,0.00011,19
151,0.000275,0.00026,0.000135,0.00021,False,0,7.5e-05,15
152,0.000275,0.000265,0.000175,0.000205,False,0,3e-05,6
153,0.00028,0.00017,0.000145,0.000155,False,0,1e-05,2
154,0.00028,0.000175,0.00013,0.00017,False,0,4e-05,8
155,0.00028,0.00018,0.000125,0.000175,False,0,5e-05,10
156,0.00028,0.000185,0.00012,0.000175,False,0,5.5e-05,11
157,0.00028,0.00019,0.000115,0.00018,False,0,6.5e-05,13
158,0.00028,0.000195,0.00011,0.00018,False,0,7e-05,14
159,0.00028,0.0002,0.00011,0.000185,False,0,7.5e-05,15
160,0.00028,0.000205,0.000105,0.000185,False,0,8e-05,16
161,0.00028,0.00021,0.000105,0.00019,False,0,8.5e-05,17
162,0.00028,0.000215,0.0001,0.00019,False,0,9e-05,18
163,0.00028,0.00022,0.0001,0.000195,False,0,9.5e-05,19
164,0.00028,0.000225,9.5e-05,0.0002,False,0,0.000105,21
165,0.00028,0.00023,9.5e-05,0.0002,False,0,0.000105,21
166,0.00028,0.000235,9.5e-05,0.0002,False,0,0.000105,21
167,0.00028,0.00024,9e-05,0.000205,False,0,0.000115,23
168,0.00028,0.000245,9e-05,0.00021,False,0,0.00012,24
169,0.00028,0.00025,9.5e-05,0.00021,False,0,0.000115,23
170,0.00028,0.000255,0.000135,0.00021,False,0,7.5e-05,15
171,0.00028,0.00026,0.00017,0.000205,False,0,3.5e-05,7
172,0.00028,0.000265,0.000175,0.0002,False,0,2.5e-05,5
173,0.000285,0.00017,0.00014,0.000155,False,0,1.5e-05,3
174,0.000285,0.000175,0.00013,0.00017,False,0,4e-05,8
175,0.000285,0.00018,0.00012,0.000175,False,0,5.5e-05,11
176,0.000285,0.000185,0.00012,0.000175,False,0,5.5e-05,11
177,0.000285,0.00019,0.000115,0.00018,False,0,6.5e-05,13
178,0.000285,0.000195,0.00011,0.00018,False,0,7e-05,14
179,0.000285,0.0002,0.000105,0.00018,False,0,7.5e-05,15
180,0.000285,0.000205,0.000105,0.000185,False,0,8e-05,16
181,0.000285,0.00021,0.0001,0.00019,False,0,9e-05,18
182,0.000285,0.000215,0.0001,0.00019,False,0,9e-05,18
183,0.000285,0.00022,0.0001,0.000195,False,0,9.5e-05,19
184,0.000285,0.000225,9.5e-05,0.000195,False,0,0.0001,20
185,0.000285,0.00023,9.5e-05,0.0002,False,0,0.000105,21
186,0.000285,0.000235,9.5e-05,0.0002,False,0,0.000105,21
187,0.000285,0.00024,9.5e-05,0.00021,False,0,0.000115,23
188,0.000285,0.000245,9.5e-05,0.00021,False,0,0.000115,23
189,0.000285,0.00025,0.0001,0.00021,False,0,0.00011,22
190,0.000285,0.000255,0.000135,0.000205,True,2,7e-05,12
191,0.000285,0.00026,0.00017,0.000205,False,0,3.5e-05,7
192,0.000285,0.000265,0.000185,0.0002,False,0,1.5e-05,3
193,0.00029,0.00017,0.00014,0.000155,False,0,1.5e-05,3
194,0.00029,0.000175,0.00013,0.00017,False,0,4e-05,8
195,0.00029,0.00018,0.00012,0.000175,False,0,5.5e-05,11
196,0.00029,0.000185,0.00012,0.000175,False,0,5.5e-05,11
197,0.00029,0.00019,0.000115,0.00018,False,0,6.5e-05,13
198,0.00029,0.000195,0.00011,0.00018,False,0,7e-05,14
199,0.00029,0.0002,0.000105,0.00018,False,0,7.5e-05,15
200,0.00029,0.000205,0.000105,0.00019,False,0,8.5e-05,17
201,0.00029,0.00021,0.0001,0.00019,False,0,9e-05,18
202,0.00029,0.000215,0.0001,0.00019,False,0,9e-05,18
203,0.00029,0.00022,0.0001,0.000195,False,0,9.5e-05,19
204,0.00029,0.000225,9.5e-05,0.000195,False,0,0.0001,20
205,0.00029,0.00023,9.5e-05,0.0002,False,0,0.000105,21
206,0.00029,0.000235,9.5e-05,0.0002,False,0,0.000105,21
207,0.00029,0.00024,9.5e-05,0.00021,False,0,0.000115,23
208,0.00029,0.000245,9.5e-05,0.00021,False,0,0.000115,23
209,0.00029,0.00025,0.000105,0.000205,True,1,0.0001,19
210,0.00029,0.000255,0.00014,0.000205,False,0,6.5e-05,13
211,0.00029,0.00026,0.00017,0.0002,False,0,3e-05,6
212,0.00029,0.000265,0.000185,0.0002,False,0,1.5e-05,3
213,0.000295,0.00017,0.00014,0.00016,False,0,2e-05,4
214,0.000295,0.000175,0.000125,0.00017,False,0,4.5e-05,9
215,0.000295,0.00018,0.00012,0.000175,False,0,5.5e-05,11
216,0.000295,0.000185,0.00012,0.000175,False,0,5.5e-05,11
217,0.000295,0.00019,0.000115,0.00018,False,0,6.5e-05,13
218,0.000295,0.000195,0.00011,0.00018,False,0,7e-05,14
219,0.000295,0.0002,0.000105,0.00018,False,0,7.5e-05,15
220,0.000295,0.000205,0.000105,0.00019,False,0,8.5e-05,17
221,0.000295,0.00021,0.0001,0.00019,False,0,9e-05,18
222,0.000295,0.000215,0.0001,0.000195,False,0,9.5e-05,19
223,0.000295,0.00022,0.0001,0.000195,False,0,9.5e-05,19
224,0.000295,0.000225,9.5e-05,0.0002,False,0,0.000105,21
225,0.000295,0.00023,9.5e-05,0.0002,False,0,0.000105,21
226,0.000295,0.000235,9.5e-05,0.0002,False,0,0.000105,21
227,0.000295,0.00024,9.5e-05,0.000205,False,0,0.00011,22
228,0.000295,0.000245,0.00011,0.000205,False,0,9.5e-05,19
229,0.000295,0.00025,0.000135,0.000205,False,0,7e-05,14
230,0.000295,0.000255,0.00014,0.000205,False,0,6.5e-05,13
231,0.000295,0.00026,0.00017,0.0002,False,0,3e-05,6
232,0.000295,0.000265,0.000175,0.0002,False,0,2.5e-05,5
233,0.000295,0.00027,0.00019,0.0002,False,0,1e-05,2
234,0.0003,0.00017,0.000135,0.00016,False,0,2.5e-05,5
235,0.0003,0.000175,0.000125,0.00017,False,0,4.5e-05,9
236,0.0003,0.00018,0.00012,0.000175,False,0,5.5e-05,11
237,0.0003,0.000185,0.00012,0.000175,False,0,5.5e-05,11
238,0.0003,0.00019,0.000115,0.00018,False,0,6.5e-05,13
239,0.0003,0.000195,0.00011,0.00018,False,0,7e-05,14
240,0.0003,0.0002,0.000105,0.000185,False,0,8e-05,16
241,0.0003,0.000205,0.0001,0.00019,False,0,9e-05,18
242,0.0003,0.00021,0.0001,0.000195,False,0,9.5e-05,19
243,0.0003,0.000215,0.0001,0.000195,False,0,9.5e-05,19
244,0.0003,0.00022,0.0001,0.000195,False,0,9.5e-05,19
245,0.0003,0.000225,9.5e-05,0.0002,False,0,0.000105,21
246,0.0003,0.00023,9.5e-05,0.0002,False,0,0.000105,21
247,0.0003,0.000235,0.0001,0.0002,False,0,0.0001,20
248,0.0003,0.00024,0.000105,0.0002,False,0,9.5e-05,19
249,0.0003,0.000245,0.00011,0.0002,False,0,9e-05,18
250,0.0003,0.00025,0.000135,0.000205,False,0,7e-05,14
251,0.0003,0.000255,0.00014,0.000205,False,0,6.5e-05,13
252,0.0003,0.00026,0.00017,0.000205,False,0,3.5e-05,7
253,0.0003,0.000265,0.000175,0.0002,False,0,2.5e-05,5
254,0.0003,0.00027,0.000185,0.0002,False,0,1.5e-05,3
255,0.000305,0.00017,0.000135,0.00016,False,0,2.5e-05,5
256,0.000305,0.000175,0.000125,0.00017,False,0,4.5e-05,9
257,0.000305,0.00018,0.00012,0.000175,False,0,5.5e-05,11
258,0.000305,0.000185,0.00012,0.000175,False,0,5.5e-05,11
259,0.000305,0.00019,0.000115,0.00018,False,0,6.5e-05,13
260,0.000305,0.000195,0.00011,0.00018,False,0,7e-05,14
261,0.000305,0.0002,0.000105,0.000185,False,0,8e-05,16
262,0.000305,0.000205,0.0001,0.00019,False,0,9e-05,18
263,0.000305,0.00021,0.0001,0.000195,False,0,9.5e-05,19
264,0.000305,0.000215,0.0001,0.000195,False,0,9.5e-05,19
265,0.000305,0.00022,0.0001,0.000195,False,0,9.5e-05,19
266,0.000305,0.000225,9.5e-05,0.000195,False,0,0.0001,20
267,0.000305,0.00023,9.5e-05,0.0002,False,0,0.000105,21
268,0.000305,0.000235,0.0001,0.0002,False,0,0.0001,20
269,0.000305,0.00024,0.00011,0.0002,False,0,9e-05,18
270,0.000305,0.000245,0.000115,0.0002,False,0,8.5e-05,17
271,0.000305,0.00025,0.00013,0.000205,False,0,7.5e-05,15
272,0.000305,0.000255,0.000145,0.000205,False,0,6e-05,12
273,0.000305,0.00026,0.00016,0.000205,False,0,4.5e-05,9
274,0.000305,0.000265,0.00017,0.0002,False,0,3e-05,6
275,0.000305,0.00027,0.000185,0.0002,False,0,1.5e-05,3
276,0.00031,0.00017,0.000135,0.00016,False,0,2.5e-05,5
277,0.00031,0.000175,0.000125,0.00017,False,0,4.5e-05,9
278,0.00031,0.00018,0.00012,0.000175,False,0,5.5e-05,11
279,0.00031,0.000185,0.00012,0.000175,False,0,5.5e-05,11
280,0.00031,0.00019,0.000115,0.00018,False,0,6.5e-05,13
281,0.00031,0.000195,0.00011,0.00018,False,0,7e-05,14
282,0.00031,0.0002,0.000105,0.000185,False,0,8e-05,16
283,0.00031,0.000205,0.0001,0.00019,False,0,9e-05,18
284,0.00031,0.00021,0.0001,0.00019,False,0,9e-05,18
285,0.00031,0.000215,0.0001,0.000195,False,0,9.5e-05,19
286,0.00031,0.00022,0.0001,0.000195,False,0,9.5e-05,19
