Points_0,Points_1,Points_2
9e-05,0.000165,8.5e-05
9.5e-05,0.000165,8.5e-05
0.0001,0.000165,8.5e-05
0.000105,0.000165,8.5e-05
0.00011,0.000165,8.5e-05
0.000115,0.000165,8.5e-05
8e-05,0.00017,8.5e-05
8.5e-05,0.00017,8.5e-05
9e-05,0.00017,8.5e-05
9.5e-05,0.00017,8.5e-05
0.0001,0.00017,8.5e-05
0.000105,0.00017,8.5e-05
0.00011,0.00017,8.5e-05
0.000115,0.00017,8.5e-05
8e-05,0.000175,8.5e-05
8.5e-05,0.000175,8.5e-05
9e-05,0.000175,8.5e-05
9.5e-05,0.000175,8.5e-05
0.0001,0.000175,8.5e-05
0.000105,0.000175,8.5e-05
0.00011,0.000175,8.5e-05
0.000115,0.000175,8.5e-05
8e-05,0.00018,8.5e-05
8.5e-05,0.00018,8.5e-05
9e-05,0.00018,8.5e-05
9.5e-05,0.00018,8.5e-05
0.0001,0.00018,8.5e-05
0.000105,0.00018,8.5e-05
0.00011,0.00018,8.5e-05
0.000115,0.00018,8.5e-05
8.5e-05,0.000185,8.5e-05
9e-05,0.000185,8.5e-05
9.5e-05,0.000185,8.5e-05
0.0001,0.000185,8.5e-05
0.000105,0.000185,8.5e-05
0.00011,0.000185,8.5e-05
0.000115,0.000185,8.5e-05
8.5e-05,0.00019,8.5e-05
9e-05,0.00019,8.5e-05
9.5e-05,0.00019,8.5e-05
0.0001,0.00019,8.5e-05
0.000105,0.00019,8.5e-05
0.00011,0.00019,8.5e-05
0.000115,0.00019,8.5e-05
8.5e-05,0.000195,8.5e-05
9e-05,0.000195,8.5e-05
9.5e-05,0.000195,8.5e-05
0.0001,0.000195,8.5e-05
0.000105,0.000195,8.5e-05
0.00011,0.000195,8.5e-05
0.000115,0.000195,8.5e-05
8.5e-05,0.0002,8.5e-05
9e-05,0.0002,8.5e-05
9.5e-05,0.0002,8.5e-05
0.0001,0.0002,8.5e-05
0.000105,0.0002,8.5e-05
0.00011,0.0002,8.5e-05
0.000115,0.0002,8.5e-05
8.5e-05,0.000205,8.5e-05
9e-05,0.000205,8.5e-05
9.5e-05,0.000205,8.5e-05
0.0001,0.000205,8.5e-05
0.000105,0.000205,8.5e-05
0.00011,0.000205,8.5e-05
0.000115,0.000205,8.5e-05
8.5e-05,0.00021,8.5e-05
9e-05,0.00021,8.5e-05
9.5e-05,0.00021,8.5e-05
0.0001,0.00021,8.5e-05
0.000105,0.00021,8.5e-05
0.00011,0.00021,8.5e-05
0.000115,0.00021,8.5e-05
8.5e-05,0.000215,8.5e-05
9e-05,0.000215,8.5e-05
9.5e-05,0.000215,8.5e-05
0.0001,0.000215,8.5e-05
0.000105,0.000215,8.5e-05
0.00011,0.000215,8.5e-05
0.000115,0.000215,8.5e-05
