iy,width,height,depth,area,porosity_at_iy,total_volume_material_at_iy
0.00014,8e-05,6.999999999999998e-05,5.4999999999999995e-05,4.175000000000001e-09,0.005988023952095809,2.0875000000000006e-14
0.000145,7.5e-05,6.5e-05,5.999999999999998e-05,4.175000000000001e-09,0.03592814371257485,2.0875000000000006e-14
0.00015,7.5e-05,6.5e-05,5.999999999999998e-05,4.2e-09,0.04761904761904762,2.1000000000000005e-14
0.000155,8e-05,6.5e-05,4.999999999999998e-05,3.975000000000001e-09,0.018867924528301883,1.9875000000000007e-14
0.00016,7.5e-05,6.999999999999998e-05,4.999999999999998e-05,3.975000000000001e-09,0.031446540880503145,1.9875000000000007e-14
0.000165,7e-05,6.999999999999998e-05,4.999999999999998e-05,3.6500000000000004e-09,0.0,1.8250000000000004e-14
0.00017,7e-05,6.999999999999998e-05,4.4999999999999996e-05,3.825e-09,0.0392156862745098,1.9125000000000004e-14
0.000175,7e-05,6.5e-05,4.999999999999998e-05,3.775000000000001e-09,0.052980132450331126,1.8875000000000005e-14
0.00018,7e-05,6.5e-05,4.999999999999998e-05,3.5000000000000007e-09,0.03571428571428572,1.7500000000000004e-14
0.000185,7.5e-05,5.999999999999998e-05,5.999999999999998e-05,3.8500000000000006e-09,0.0844155844155844,1.9250000000000006e-14
0.00019,7.5e-05,6.5e-05,5.999999999999998e-05,3.800000000000001e-09,0.039473684210526314,1.9000000000000004e-14
0.000195,7.5e-05,6.5e-05,5.4999999999999995e-05,3.7500000000000005e-09,0.019999999999999997,1.8750000000000005e-14
0.0002,8e-05,6.5e-05,4.999999999999998e-05,3.800000000000001e-09,0.006578947368421053,1.9000000000000004e-14
0.000205,8e-05,5.999999999999998e-05,4.999999999999998e-05,3.7500000000000005e-09,0.006666666666666666,1.8750000000000005e-14
0.00021,7.5e-05,6.5e-05,4.999999999999998e-05,3.600000000000001e-09,0.0,1.8000000000000005e-14
0.000215,7.5e-05,6.5e-05,5.4999999999999995e-05,3.600000000000001e-09,0.0,1.8000000000000005e-14
0.00022,8e-05,6.5e-05,4.999999999999998e-05,3.6250000000000006e-09,0.0,1.8125000000000005e-14
0.000225,8.5e-05,6.5e-05,4.999999999999998e-05,3.950000000000001e-09,0.025316455696202535,1.9750000000000004e-14
0.00023,8.5e-05,6.5e-05,4.999999999999998e-05,4.000000000000001e-09,0.0,2.0000000000000006e-14
0.000235,8.5e-05,6.5e-05,4.999999999999998e-05,4.050000000000001e-09,0.0,2.0250000000000005e-14
0.00024,8.5e-05,6.999999999999998e-05,5.4999999999999995e-05,4.075000000000001e-09,0.006134969325153374,2.0375000000000005e-14
0.000245,8.5e-05,6.999999999999998e-05,5.4999999999999995e-05,4.075000000000001e-09,0.0,2.0375000000000005e-14
0.00025,7.5e-05,6.499999999999998e-05,5.499999999999998e-05,3.950000000000001e-09,0.006329113924050634,1.9750000000000004e-14
0.000255,8e-05,6.499999999999998e-05,5.499999999999998e-05,4.000000000000001e-09,0.012499999999999999,2.0000000000000006e-14
0.00026,7.5e-05,6.499999999999998e-05,5.499999999999998e-05,4.0250000000000005e-09,0.006211180124223602,2.0125000000000006e-14
0.000265,7.5e-05,6.999999999999998e-05,5.4999999999999995e-05,4.1e-09,0.006097560975609756,2.0500000000000004e-14
0.00027,7.5e-05,6.5e-05,5.4999999999999995e-05,3.975000000000001e-09,0.006289308176100628,1.9875000000000007e-14
0.000275,8e-05,6.5e-05,4.999999999999998e-05,3.825e-09,0.0,1.9125000000000004e-14
0.00028,8e-05,5.999999999999998e-05,5.4999999999999995e-05,3.7250000000000007e-09,0.006711409395973154,1.8625000000000006e-14
0.000285,8e-05,6.5e-05,5.4999999999999995e-05,3.825e-09,0.006535947712418301,1.9125000000000004e-14
0.00029,8e-05,6.5e-05,5.4999999999999995e-05,3.7500000000000005e-09,0.0,1.8750000000000005e-14
0.000295,8e-05,6.5e-05,4.999999999999998e-05,3.6500000000000004e-09,0.0,1.8250000000000004e-14
0.0003,7.5e-05,5.499999999999998e-05,4.499999999999998e-05,3.5250000000000005e-09,0.007092198581560284,1.7625000000000004e-14
0.000305,7.5e-05,5.499999999999998e-05,4.9999999999999996e-05,3.5750000000000006e-09,0.020979020979020976,1.7875000000000006e-14
0.00031,7.5e-05,5.499999999999998e-05,4.9999999999999996e-05,3.5500000000000008e-09,0.021126760563380278,1.7750000000000006e-14
0.000315,7.5e-05,5.9999999999999995e-05,4.9999999999999996e-05,3.6750000000000006e-09,0.020408163265306124,1.8375000000000004e-14
0.00032,7.5e-05,5.9999999999999995e-05,4.9999999999999996e-05,3.5250000000000005e-09,0.0,1.7625000000000004e-14
0.000325,8e-05,5.9999999999999995e-05,4.499999999999998e-05,3.7000000000000005e-09,0.0,1.8500000000000006e-14
0.00033,8e-05,5.9999999999999995e-05,4.9999999999999996e-05,3.8500000000000006e-09,0.0,1.9250000000000006e-14
0.000335,8e-05,6.999999999999998e-05,5.999999999999998e-05,4.050000000000001e-09,0.0,2.0250000000000005e-14
0.00034,8.5e-05,6.999999999999998e-05,5.999999999999998e-05,4.075000000000001e-09,0.0,2.0375000000000005e-14
0.000345,8.5e-05,6.5e-05,5.999999999999998e-05,4.1250000000000005e-09,0.0,2.0625000000000007e-14
0.00035,8.5e-05,6.5e-05,4.999999999999998e-05,4.225000000000001e-09,0.02366863905325444,2.1125000000000005e-14
0.000355,8.5e-05,6.5e-05,4.999999999999998e-05,4.175000000000001e-09,0.041916167664670656,2.0875000000000006e-14
0.00036,8e-05,6.5e-05,5.4999999999999995e-05,3.925e-09,0.0,1.9625000000000005e-14
0.000365,7.5e-05,5.9999999999999995e-05,5.499999999999998e-05,3.7500000000000005e-09,0.006666666666666666,1.8750000000000005e-14
0.00037,7.5e-05,5.9999999999999995e-05,4.9999999999999996e-05,3.6500000000000004e-09,0.0,1.8250000000000004e-14
0.000375,7e-05,6.499999999999998e-05,4.9999999999999996e-05,3.5500000000000008e-09,0.0,1.7750000000000006e-14
0.00038,7e-05,6.499999999999998e-05,4.9999999999999996e-05,3.800000000000001e-09,0.013157894736842106,1.9000000000000004e-14
0.000385,7.5e-05,6.499999999999998e-05,5.499999999999998e-05,3.975000000000001e-09,0.018867924528301883,1.9875000000000007e-14
0.00039,8e-05,6.499999999999998e-05,4.9999999999999996e-05,4.0250000000000005e-09,0.006211180124223602,2.0125000000000006e-14
0.000395,8e-05,6.499999999999998e-05,4.9999999999999996e-05,3.900000000000001e-09,0.0,1.9500000000000005e-14
0.0004,8e-05,6.499999999999998e-05,4.9999999999999996e-05,3.975000000000001e-09,0.006289308176100628,1.9875000000000007e-14
0.000405,8e-05,6.499999999999998e-05,4.499999999999998e-05,3.8500000000000006e-09,0.0,1.9250000000000006e-14
0.00041,8e-05,6.499999999999998e-05,4.499999999999998e-05,3.875000000000001e-09,0.0,1.9375000000000006e-14
0.000415,8e-05,5.9999999999999995e-05,4.9999999999999996e-05,3.775000000000001e-09,0.0,1.8875000000000005e-14
0.00042,8e-05,5.9999999999999995e-05,4.499999999999998e-05,3.6250000000000006e-09,0.020689655172413793,1.8125000000000005e-14
0.000425,8e-05,5.9999999999999995e-05,4.499999999999998e-05,3.600000000000001e-09,0.0,1.8000000000000005e-14
0.00043,7.5e-05,5.9999999999999995e-05,4.9999999999999996e-05,3.5000000000000007e-09,0.0,1.7500000000000004e-14
0.000435,8e-05,5.9999999999999995e-05,4.9999999999999996e-05,3.800000000000001e-09,0.019736842105263157,1.9000000000000004e-14
0.00044,8e-05,6.999999999999998e-05,5.4999999999999995e-05,3.900000000000001e-09,0.0,1.9500000000000005e-14
0.000445,7.5e-05,6.999999999999998e-05,5.4999999999999995e-05,4.000000000000001e-09,0.0,2.0000000000000006e-14
0.00045,7.5e-05,6.999999999999998e-05,4.999999999999998e-05,4.075000000000001e-09,0.0,2.0375000000000005e-14
0.000455,7.5e-05,6.999999999999998e-05,4.999999999999998e-05,4.050000000000001e-09,0.0,2.0250000000000005e-14
0.00046,7.5e-05,6.5e-05,4.999999999999998e-05,3.7500000000000005e-09,0.0,1.8750000000000005e-14
0.000465,7.5e-05,5.999999999999998e-05,4.999999999999998e-05,3.7000000000000005e-09,0.040540540540540536,1.8500000000000006e-14
0.00047,7.5e-05,5.999999999999998e-05,4.999999999999998e-05,3.5250000000000005e-09,0.007092198581560284,1.7625000000000004e-14
0.000475,7.5e-05,5.999999999999998e-05,4.999999999999998e-05,3.6250000000000006e-09,0.027586206896551724,1.8125000000000005e-14
0.00048,7e-05,5.999999999999998e-05,4.999999999999998e-05,3.3500000000000006e-09,0.0373134328358209,1.6750000000000004e-14
0.000485,7e-05,5.4999999999999995e-05,4.4999999999999996e-05,3.0750000000000007e-09,0.0,1.5375000000000004e-14
0.00049,7e-05,5.4999999999999995e-05,4.4999999999999996e-05,3.3000000000000006e-09,0.0303030303030303,1.6500000000000005e-14
0.000495,8e-05,5.999999999999998e-05,4.4999999999999996e-05,3.6250000000000006e-09,0.006896551724137931,1.8125000000000005e-14
0.0005,8e-05,6.5e-05,5.000000000000001e-05,3.6750000000000006e-09,0.0,1.8375000000000004e-14
0.000505,7.5e-05,6.5e-05,6.000000000000001e-05,3.6500000000000004e-09,0.027397260273972605,1.8250000000000004e-14
0.00051,7.5e-05,6.5e-05,6.000000000000001e-05,3.875000000000001e-09,0.05806451612903226,1.9375000000000006e-14
0.000515,7.5e-05,5.999999999999998e-05,5.4999999999999995e-05,3.8500000000000006e-09,0.03896103896103895,1.9250000000000006e-14
0.00052,8e-05,6.5e-05,4.999999999999998e-05,3.925e-09,0.025477707006369428,1.9625000000000005e-14
0.000525,8e-05,6.5e-05,5.4999999999999995e-05,3.975000000000001e-09,0.025157232704402514,1.9875000000000007e-14
0.00053,8.5e-05,6.999999999999998e-05,4.999999999999998e-05,4.0250000000000005e-09,0.03726708074534161,2.0125000000000006e-14
0.000535,8.5e-05,6.999999999999998e-05,4.999999999999998e-05,4.0250000000000005e-09,0.031055900621118012,2.0125000000000006e-14
0.00054,8e-05,5.9999999999999995e-05,4.499999999999998e-05,3.8500000000000006e-09,0.025974025974025972,1.9250000000000006e-14
0.000545,8e-05,5.499999999999998e-05,4.499999999999998e-05,3.5250000000000005e-09,0.0,1.7625000000000004e-14
0.00055,8e-05,5.9999999999999995e-05,4.9999999999999996e-05,3.6250000000000006e-09,0.0,1.8125000000000005e-14
0.000555,8e-05,5.9999999999999995e-05,4.9999999999999996e-05,3.6250000000000006e-09,0.0,1.8125000000000005e-14
0.00056,8e-05,5.9999999999999995e-05,5.499999999999998e-05,3.8500000000000006e-09,0.012987012987012986,1.9250000000000006e-14
0.000565,8e-05,6.499999999999998e-05,5.499999999999998e-05,3.950000000000001e-09,0.0,1.9750000000000004e-14
0.00057,8e-05,6.499999999999998e-05,5.499999999999998e-05,3.975000000000001e-09,0.0,1.9875000000000007e-14
0.000575,8e-05,6.499999999999998e-05,5.499999999999998e-05,3.975000000000001e-09,0.0,1.9875000000000007e-14
0.00058,8e-05,6.5e-05,5.999999999999998e-05,3.950000000000001e-09,0.0189873417721519,1.9750000000000004e-14
0.000585,7.5e-05,6.999999999999998e-05,5.999999999999998e-05,3.800000000000001e-09,0.019736842105263157,1.9000000000000004e-14
0.00059,7.5e-05,6.999999999999998e-05,5.999999999999998e-05,3.825e-09,0.026143790849673203,1.9125000000000004e-14
0.000595,7e-05,6.5e-05,5.999999999999998e-05,3.600000000000001e-09,0.027777777777777776,1.8000000000000005e-14
0.0006,7e-05,5.999999999999998e-05,5.4999999999999995e-05,3.4750000000000005e-09,0.02877697841726619,1.7375000000000005e-14
0.000605,7e-05,5.9999999999999995e-05,4.9999999999999996e-05,3.4750000000000005e-09,0.02877697841726619,1.7375000000000005e-14
0.00061,7e-05,5.9999999999999995e-05,4.9999999999999996e-05,3.4500000000000007e-09,0.021739130434782608,1.7250000000000005e-14
0.000615,8e-05,5.9999999999999995e-05,5.499999999999998e-05,3.825e-09,0.05882352941176471,1.9125000000000004e-14
0.00062,8e-05,5.9999999999999995e-05,5.499999999999998e-05,3.8500000000000006e-09,0.05844155844155844,1.9250000000000006e-14
0.000625,7.5e-05,5.9999999999999995e-05,5.499999999999998e-05,3.600000000000001e-09,0.027777777777777776,1.8000000000000005e-14
