id_row,y_coord,z_coord_,x_min,x_max,row_has_pores,number_of_pores_in_row,width_row,number_non_void_cells_in_row
272,0.000125,0.000145,8e-05,0.000115,False,0,3.5e-05,7
273,0.000125,0.00015,9e-05,0.0001,False,0,1e-05,2
274,0.00013,8.5e-05,8.5e-05,0.000115,False,0,3e-05,6
275,0.00013,9e-05,8e-05,0.00012,False,0,4e-05,8
276,0.00013,9.5e-05,7.5e-05,0.00012,False,0,4.5e-05,9
277,0.00013,0.0001,7.5e-05,0.000125,False,0,5e-05,10
278,0.00013,0.000105,7e-05,0.00013,False,0,6e-05,12
279,0.00013,0.00011,7e-05,0.00013,False,0,6e-05,12
280,0.00013,0.000115,7e-05,0.000135,False,0,6.5e-05,13
281,0.00013,0.00012,7e-05,0.000135,False,0,6.5e-05,13
282,0.00013,0.000125,6.5e-05,0.00014,False,0,7.5e-05,15
283,0.00013,0.00013,6.5e-05,0.00014,False,0,7.5e-05,15
284,0.00013,0.000135,6e-05,0.00014,False,0,8e-05,16
285,0.00013,0.00014,6e-05,0.00014,False,0,8e-05,16
286,0.00013,0.000145,7.5e-05,0.000125,False,0,5e-05,10
287,0.00013,0.00015,8.5e-05,0.0001,False,0,1.5e-05,3
288,0.000135,8e-05,9.5e-05,0.000105,False,0,1e-05,2
289,0.000135,8.5e-05,8.5e-05,0.000115,False,0,3e-05,6
290,0.000135,9e-05,8e-05,0.00012,False,0,4e-05,8
291,0.000135,9.5e-05,7.5e-05,0.000125,False,0,5e-05,10
292,0.000135,0.0001,7e-05,0.000125,False,0,5.5e-05,11
293,0.000135,0.000105,7e-05,0.00013,False,0,6e-05,12
294,0.000135,0.00011,7e-05,0.000135,False,0,6.5e-05,13
295,0.000135,0.000115,7e-05,0.000135,False,0,6.5e-05,13
296,0.000135,0.00012,6.5e-05,0.00014,False,0,7.5e-05,15
297,0.000135,0.000125,6.5e-05,0.00014,False,0,7.5e-05,15
298,0.000135,0.00013,6.5e-05,0.00014,False,0,7.5e-05,15
299,0.000135,0.000135,6e-05,0.00014,False,0,8e-05,16
300,0.000135,0.00014,6e-05,0.00014,False,0,8e-05,16
301,0.000135,0.000145,7.5e-05,0.000125,False,0,5e-05,10
302,0.000135,0.00015,8.5e-05,0.0001,False,0,1.5e-05,3
303,0.00014,8e-05,9e-05,0.00011,False,0,2e-05,4
304,0.00014,8.5e-05,8.5e-05,0.000115,False,0,3e-05,6
305,0.00014,9e-05,8e-05,0.00012,False,0,4e-05,8
306,0.00014,9.5e-05,7.5e-05,0.000125,False,0,5e-05,10
307,0.00014,0.0001,7e-05,0.000125,False,0,5.5e-05,11
308,0.00014,0.000105,7e-05,0.000135,False,0,6.5e-05,13
309,0.00014,0.00011,7e-05,0.000135,False,0,6.5e-05,13
310,0.00014,0.000115,7e-05,0.000135,False,0,6.5e-05,13
311,0.00014,0.00012,6.5e-05,0.00014,False,0,7.5e-05,15
312,0.00014,0.000125,6.5e-05,0.00014,False,0,7.5e-05,15
313,0.00014,0.00013,6.5e-05,0.00014,False,0,7.5e-05,15
314,0.00014,0.000135,6e-05,0.00014,False,0,8e-05,16
315,0.00014,0.00014,6e-05,0.000135,False,0,7.5e-05,15
316,0.00014,0.000145,6.5e-05,0.000125,True,1,6e-05,11
317,0.00014,0.00015,9.5e-05,0.0001,False,0,5e-06,1
318,0.000145,8e-05,9e-05,0.00011,False,0,2e-05,4
319,0.000145,8.5e-05,8e-05,0.000115,False,0,3.5e-05,7
320,0.000145,9e-05,8e-05,0.00012,False,0,4e-05,8
321,0.000145,9.5e-05,7.5e-05,0.000125,False,0,5e-05,10
322,0.000145,0.0001,7.5e-05,0.000125,False,0,5e-05,10
323,0.000145,0.000105,7e-05,0.000135,False,0,6.5e-05,13
324,0.000145,0.00011,7e-05,0.000135,False,0,6.5e-05,13
325,0.000145,0.000115,6.5e-05,0.000135,False,0,7e-05,14
326,0.000145,0.00012,6.5e-05,0.00014,False,0,7.5e-05,15
327,0.000145,0.000125,6.5e-05,0.00014,False,0,7.5e-05,15
328,0.000145,0.00013,6.5e-05,0.00014,False,0,7.5e-05,15
329,0.000145,0.000135,6.5e-05,0.00014,False,0,7.5e-05,15
330,0.000145,0.00014,6e-05,0.000135,False,0,7.5e-05,15
331,0.000145,0.000145,6e-05,0.000125,True,6,6.5e-05,7
332,0.00015,8e-05,8.5e-05,0.00011,False,0,2.5e-05,5
333,0.00015,8.5e-05,8e-05,0.000115,False,0,3.5e-05,7
334,0.00015,9e-05,8e-05,0.00012,False,0,4e-05,8
335,0.00015,9.5e-05,7.5e-05,0.000125,False,0,5e-05,10
336,0.00015,0.0001,7e-05,0.000125,False,0,5.5e-05,11
337,0.00015,0.000105,7e-05,0.000135,False,0,6.5e-05,13
338,0.00015,0.00011,6.5e-05,0.000135,False,0,7e-05,14
339,0.00015,0.000115,6.5e-05,0.000135,False,0,7e-05,14
340,0.00015,0.00012,6.5e-05,0.000135,False,0,7e-05,14
341,0.00015,0.000125,6.5e-05,0.00014,False,0,7.5e-05,15
342,0.00015,0.00013,6.5e-05,0.00014,False,0,7.5e-05,15
343,0.00015,0.000135,6.5e-05,0.00014,False,0,7.5e-05,15
344,0.00015,0.00014,6e-05,0.000135,True,2,7.5e-05,13
345,0.00015,0.000145,6e-05,0.00012,True,6,6e-05,6
346,0.000155,8e-05,8.5e-05,0.00011,False,0,2.5e-05,5
347,0.000155,8.5e-05,8e-05,0.000115,False,0,3.5e-05,7
348,0.000155,9e-05,7.5e-05,0.00012,False,0,4.5e-05,9
349,0.000155,9.5e-05,7.5e-05,0.000125,False,0,5e-05,10
350,0.000155,0.0001,7e-05,0.000125,False,0,5.5e-05,11
351,0.000155,0.000105,6.5e-05,0.000135,False,0,7e-05,14
352,0.000155,0.00011,6.5e-05,0.000135,False,0,7e-05,14
353,0.000155,0.000115,6.5e-05,0.000135,False,0,7e-05,14
354,0.000155,0.00012,6.5e-05,0.000135,False,0,7e-05,14
355,0.000155,0.000125,6e-05,0.000135,False,0,7.5e-05,15
356,0.000155,0.00013,6e-05,0.00014,False,0,8e-05,16
357,0.000155,0.000135,6.5e-05,0.00014,False,0,7.5e-05,15
358,0.000155,0.00014,6.5e-05,0.00013,True,3,6.5e-05,10
359,0.000155,0.000145,0.000115,0.000125,False,0,1e-05,2
360,0.00016,8e-05,8.5e-05,0.00011,False,0,2.5e-05,5
361,0.00016,8.5e-05,8e-05,0.000115,False,0,3.5e-05,7
362,0.00016,9e-05,7.5e-05,0.00012,False,0,4.5e-05,9
363,0.00016,9.5e-05,7.5e-05,0.000125,False,0,5e-05,10
364,0.00016,0.0001,7e-05,0.000125,False,0,5.5e-05,11
365,0.00016,0.000105,6.5e-05,0.00013,False,0,6.5e-05,13
366,0.00016,0.00011,6.5e-05,0.000135,False,0,7e-05,14
367,0.00016,0.000115,6.5e-05,0.000135,False,0,7e-05,14
368,0.00016,0.00012,6.5e-05,0.000135,False,0,7e-05,14
369,0.00016,0.000125,6e-05,0.000135,False,0,7.5e-05,15
370,0.00016,0.00013,6e-05,0.000135,False,0,7.5e-05,15
371,0.00016,0.000135,6.5e-05,0.000135,False,0,7e-05,14
372,0.00016,0.00014,6.5e-05,0.000135,True,5,7e-05,9
373,0.00016,0.000145,0.00011,0.000125,False,0,1.5e-05,3
374,0.00016,0.00015,0.000115,0.00012,False,0,5e-06,1
375,0.000165,8e-05,8.5e-05,0.00011,False,0,2.5e-05,5
376,0.000165,8.5e-05,8e-05,0.000115,False,0,3.5e-05,7
377,0.000165,9e-05,7.5e-05,0.00012,False,0,4.5e-05,9
378,0.000165,9.5e-05,7.5e-05,0.000125,False,0,5e-05,10
379,0.000165,0.0001,7e-05,0.000125,False,0,5.5e-05,11
380,0.000165,0.000105,6.5e-05,0.00013,False,0,6.5e-05,13
381,0.000165,0.00011,6.5e-05,0.00013,False,0,6.5e-05,13
382,0.000165,0.000115,6.5e-05,0.000135,False,0,7e-05,14
383,0.000165,0.00012,6.5e-05,0.000135,False,0,7e-05,14
384,0.000165,0.000125,6.5e-05,0.000135,False,0,7e-05,14
385,0.000165,0.00013,6.5e-05,0.000135,False,0,7e-05,14
